Bank,Year,Month,Media Category,dollars
Wells Fargo,2023,May 2023,Audio,358415
Wells Fargo,2023,May 2023,Digital,3030781
Wells Fargo,2023,May 2023,Outdoor,11338
Wells Fargo,2023,May 2023,Print,18139
Wells Fargo,2023,May 2023,Television,9355801
Wells Fargo,2023,November 2023,Audio,827340
Wells Fargo,2023,November 2023,Digital,4977533
Wells Fargo,2023,November 2023,Outdoor,103703
Wells Fargo,2023,November 2023,Print,125493
Wells Fargo,2023,November 2023,Television,7602229
Wells Fargo,2023,October 2023,Audio,50858
Wells Fargo,2023,October 2023,Digital,2876127
Wells Fargo,2023,October 2023,Outdoor,203171
Wells Fargo,2023,October 2023,Print,62980
Wells Fargo,2023,October 2023,Television,17801389
Wells Fargo,2023,September 2023,Audio,477211
Wells Fargo,2023,September 2023,Digital,1955904
Wells Fargo,2023,September 2023,Outdoor,177952
Wells Fargo,2023,September 2023,Television,7752056
Wells Fargo,2025,March 2025,Audio,0
Wells Fargo,2025,March 2025,Digital,3610094
Wells Fargo,2025,March 2025,Outdoor,34423
Wells Fargo,2025,March 2025,Television,3048805
Bank of America,2024,April 2024,Audio,4434443
Bank of America,2024,April 2024,Digital,10086899
Bank of America,2024,April 2024,Outdoor,104968
Bank of America,2024,April 2024,Print,945045
Bank of America,2024,April 2024,Television,13141297
Bank of America,2024,August 2024,Audio,5210724
Bank of America,2024,August 2024,Digital,7666818
Bank of America,2024,August 2024,Outdoor,138679
Bank of America,2024,August 2024,Print,2306784
Bank of America,2024,August 2024,Television,17899777
Bank of America,2024,December 2024,Audio,342417
Bank of America,2024,December 2024,Digital,5181576
Bank of America,2024,December 2024,Print,916132
Bank of America,2024,December 2024,Television,84471
Bank of America,2024,February 2024,Audio,503265
Bank of America,2024,February 2024,Digital,6274787
Bank of America,2024,February 2024,Outdoor,48970
Bank of America,2024,February 2024,Print,21727
Bank of America,2024,February 2024,Television,4377021
Bank of America,2024,January 2024,Audio,605230
Bank of America,2024,January 2024,Digital,6027092
Bank of America,2024,January 2024,Outdoor,22372
Bank of America,2024,January 2024,Print,82625
Bank of America,2024,January 2024,Streaming,0
